# host=127.0.0.1
# port=8080
# clients=100
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=11.189765
# throughput=178.734763
# p50Ms=558
# p95Ms=575
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1771319131674,19,13,1307,538,true
1771319131674,93,13,1306,538,true
1771319131725,25,13,1314,535,true
1771319131725,34,13,1313,535,true
1771319131756,70,13,1318,545,true
1771319131756,55,13,1319,545,true
1771319131757,59,13,1315,546,true
1771319131757,36,13,1317,546,true
1771319131757,72,13,1321,545,true
1771319131757,16,13,1316,546,true
1771319131757,57,13,1323,536,true
1771319131757,35,13,1320,545,true
1771319131760,18,13,1324,539,true
1771319131760,29,13,1322,539,true
1771319131761,73,13,1325,539,true
1771319131781,5,13,1331,539,true
1771319131781,75,13,1332,538,true
1771319131781,54,13,1326,542,true
1771319131781,71,13,1327,541,true
1771319131781,56,13,1328,541,true
1771319131781,74,13,1329,541,true
1771319131781,17,13,1330,541,true
1771319131832,22,13,1334,539,true
1771319131832,77,13,1333,539,true
1771319131862,58,13,1339,537,true
1771319131862,10,13,1337,538,true
1771319131862,32,13,1338,538,true
1771319131862,40,13,1336,539,true
1771319131862,51,13,1335,539,true
1771319131865,24,13,1343,539,true
1771319131865,90,13,1344,539,true
1771319131865,69,13,1341,539,true
1771319131865,89,13,1340,539,true
1771319131865,76,13,1342,539,true
1771319131867,8,13,1345,540,true
1771319131887,43,13,1348,540,true
1771319131887,60,13,1350,539,true
1771319131888,2,13,1352,536,true
1771319131888,61,13,1349,541,true
1771319131888,31,13,1346,542,true
1771319131889,49,13,1347,541,true
1771319131890,66,13,1351,542,true
1771319131948,3,13,1354,552,true
1771319131948,46,13,1353,554,true
1771319131969,15,13,1355,541,true
1771319131969,21,13,1356,541,true
1771319131969,37,13,1357,539,true
1771319131970,0,13,1358,539,true
1771319131970,50,13,1359,538,true
1771319131972,23,13,1360,540,true
1771319131972,68,13,1362,539,true
1771319131972,48,13,1361,540,true
1771319131973,62,13,1363,539,true
1771319131973,26,13,1364,538,true
1771319131976,44,13,1365,539,true
1771319131997,79,13,1370,538,true
1771319131997,39,13,1372,538,true
1771319131997,4,13,1369,538,true
1771319131997,7,13,1371,538,true
1771319131997,9,13,1368,539,true
1771319131997,13,13,1366,540,true
1771319131997,65,13,1367,539,true
1771319132059,63,13,1373,549,true
1771319132059,11,13,1374,549,true
1771319132079,80,13,1375,538,true
1771319132079,52,13,1376,538,true
1771319132079,38,13,1382,537,true
1771319132079,91,13,1383,537,true
1771319132079,95,13,1380,538,true
1771319132079,88,13,1381,538,true
1771319132081,41,13,1379,539,true
1771319132081,1,13,1378,540,true
1771319132081,30,13,1377,540,true
1771319132085,96,13,1384,542,true
1771319132102,6,13,1385,559,true
1771319132104,87,13,1391,540,true
1771319132104,45,13,1390,540,true
1771319132104,64,13,1389,541,true
1771319132104,94,13,1388,541,true
1771319132104,20,13,1387,541,true
1771319132105,47,13,1386,542,true
1771319132108,86,13,1392,543,true
1771319132176,97,13,1393,558,true
1771319132176,83,13,1394,559,true
1771319132186,82,13,1395,539,true
1771319132186,42,13,1396,539,true
1771319132207,27,13,1402,553,true
1771319132207,67,14,1401,554,true
1771319132207,12,14,1400,558,true
1771319132207,81,13,1398,560,true
1771319132207,33,14,1397,561,true
1771319132207,84,13,1399,560,true
1771319132217,85,14,1404,560,true
1771319132217,99,14,1405,560,true
1771319132217,28,13,1403,561,true
1771319132217,92,14,1406,544,true
1771319132217,98,14,1407,544,true
1771319132219,19,14,1411,544,true
1771319132219,78,14,1409,544,true
1771319132219,53,14,1410,544,true
1771319132219,14,14,1408,545,true
1771319132219,93,14,1412,544,true
1771319132279,34,14,1414,553,true
1771319132280,25,14,1413,554,true
1771319132290,70,14,1415,534,true
1771319132290,55,14,1416,534,true
1771319132311,59,14,1417,554,true
1771319132312,36,14,1418,555,true
1771319132313,16,14,1420,556,true
1771319132315,57,14,1421,558,true
1771319132315,72,14,1419,558,true
1771319132317,35,14,1422,559,true
1771319132327,29,14,1424,567,true
1771319132327,18,14,1423,567,true
1771319132327,5,14,1426,546,true
1771319132327,73,14,1425,566,true
1771319132328,71,14,1429,545,true
1771319132328,56,14,1430,545,true
1771319132328,75,14,1427,547,true
1771319132328,54,14,1428,546,true
1771319132337,74,14,1431,553,true
1771319132337,17,14,1432,553,true
1771319132384,22,14,1433,551,true
1771319132386,77,14,1434,553,true
1771319132396,58,14,1435,533,true
1771319132396,10,14,1436,533,true
1771319132416,51,14,1439,553,true
1771319132416,24,14,1440,553,true
1771319132416,32,14,1437,554,true
1771319132416,40,14,1438,554,true
1771319132426,90,14,1441,562,true
1771319132426,69,14,1442,562,true
1771319132437,89,14,1443,572,true
1771319132437,61,14,1449,549,true
1771319132439,31,14,1450,549,true
1771319132439,2,14,1448,550,true
1771319132439,76,14,1444,574,true
1771319132439,43,14,1446,551,true
1771319132439,8,14,1445,572,true
1771319132439,60,14,1447,551,true
1771319132447,66,14,1452,556,true
1771319132447,49,14,1451,558,true
1771319132488,3,14,1453,539,true
1771319132488,46,14,1454,540,true
1771319132500,15,14,1455,533,true
1771319132500,21,14,1456,533,true
1771319132520,37,14,1457,550,true
1771319132521,0,14,1458,551,true
1771319132521,50,14,1459,552,true
1771319132524,23,14,1460,552,true
1771319132530,68,14,1461,558,true
1771319132530,48,14,1462,558,true
1771319132545,44,14,1465,571,true
1771319132545,26,14,1464,574,true
1771319132545,62,14,1463,574,true
1771319132555,79,14,1466,558,true
1771319132555,39,14,1467,558,true
1771319132555,4,14,1468,558,true
1771319132555,7,14,1469,558,true
1771319132555,9,14,1470,558,true
1771319132555,65,14,1472,558,true
1771319132555,13,14,1471,558,true
1771319132595,11,14,1474,536,true
1771319132595,63,14,1473,536,true
1771319132606,80,14,1475,526,true
1771319132606,38,14,1477,525,true
1771319132627,95,14,1479,546,true
1771319132627,91,14,1478,546,true
1771319132627,52,14,1476,547,true
1771319132627,88,14,1480,546,true
1771319132637,1,14,1482,555,true
1771319132637,41,14,1481,555,true
1771319132651,96,14,1484,565,true
1771319132651,30,14,1483,569,true
1771319132652,6,14,1485,549,true
1771319132662,45,14,1487,557,true
1771319132662,94,14,1489,557,true
1771319132662,87,14,1486,558,true
1771319132662,64,14,1488,557,true
1771319132662,20,14,1490,557,true
1771319132662,47,14,1491,557,true
1771319132662,86,14,1492,554,true
1771319132703,83,14,1494,526,true
1771319132703,97,14,1493,526,true
1771319132713,82,14,1495,527,true
1771319132713,42,14,1496,527,true
1771319132742,81,14,1500,533,true
1771319132742,12,15,1499,534,true
1771319132743,67,15,1498,535,true
1771319132743,27,14,1497,535,true
1771319132743,33,15,1501,535,true
1771319132743,84,14,1502,536,true
1771319132754,85,15,1503,537,true
1771319132756,99,15,1504,539,true
1771319132757,28,14,1505,539,true
1771319132768,92,15,1506,549,true
1771319132768,98,15,1507,549,true
1771319132768,93,15,1512,550,true
1771319132768,53,15,1510,550,true
1771319132768,14,15,1511,550,true
1771319132768,78,15,1509,551,true
1771319132768,19,15,1508,551,true
1771319132809,25,15,1514,529,true
1771319132809,34,15,1513,530,true
1771319132820,70,15,1515,529,true
1771319132820,55,15,1516,529,true
